id;nombre;color;
1;Historia;#037da8;;
2;Derecho;#a80303;;
3;Antropologia;#6578a3;;
4;Geografia;#03adad;;
5;Filosofia;#0341ad;;
6;Psicologia;#ad03aa;;
7;Economia;#adaa03;;
8;Sociologia;#ad8503;;
9;Pedagogia;#b08dae;;
